timestamp,energyB,energyP,on_offL1,on_offL2,powerC,powerP,powerL1,powerL2,powerA
2022-06-28 00:00:07.780795,-0.2839611111111111,0.0,0,0.0,102.226,0.0,0.0,0.0,-102.226
2022-06-28 00:00:17.689686,-0.5668222222222222,0.0,0,0.0,101.83,0.0,0.0,0.0,-101.83
2022-06-28 00:00:27.705853,-0.8484305555555556,0.0,0,0.0,101.379,0.0,0.0,0.0,-101.379
2022-06-28 00:00:37.793537,-1.131238888888889,0.0,0,0.0,101.811,0.0,0.0,0.0,-101.811
2022-06-28 00:00:47.697514,-1.4158638888888888,0.0,0,0.0,102.465,0.0,0.0,0.0,-102.465
2022-06-28 00:00:57.692934,-1.6982388888888886,0.0,0,0.0,101.655,0.0,0.0,0.0,-101.655
2022-06-28 00:01:07.707838,-1.9818666666666664,0.0,0,0.0,102.106,0.0,0.0,0.0,-102.106
2022-06-28 00:01:17.800499,-2.268269444444444,0.0,0,0.0,103.105,0.0,0.0,0.0,-103.105
2022-06-28 00:01:27.729263,-2.552097222222222,0.0,0,0.0,102.178,0.0,0.0,0.0,-102.178
2022-06-28 00:01:37.724573,-2.833869444444444,0.0,0,0.0,101.438,0.0,0.0,0.0,-101.438
2022-06-28 00:01:47.780346,-3.1211277777777773,0.0,0,0.0,103.413,0.0,0.0,0.0,-103.413
2022-06-28 00:01:58.238942,-3.401205555555555,0.0,0,0.0,100.828,0.0,0.0,0.0,-100.828
2022-06-28 00:02:07.782898,-3.693388888888888,0.0,0,0.0,105.186,0.0,0.0,0.0,-105.186
2022-06-28 00:02:17.746075,-3.976269444444444,0.0,0,0.0,101.837,0.0,0.0,0.0,-101.837
2022-06-28 00:02:27.747697,-4.262583333333333,0.0,0,0.0,103.073,0.0,0.0,0.0,-103.073
2022-06-28 00:02:37.791151,-4.542255555555555,0.0,0,0.0,100.682,0.0,0.0,0.0,-100.682
2022-06-28 00:02:47.751263,-4.826833333333333,0.0,0,0.0,102.448,0.0,0.0,0.0,-102.448
2022-06-28 00:02:58.028323,-5.110155555555555,0.0,0,0.0,101.996,0.0,0.0,0.0,-101.996
2022-06-28 00:03:07.782896,-5.399225,0.0,0,0.0,104.065,0.0,0.0,0.0,-104.065
2022-06-28 00:03:17.853873,-5.685302777777777,0.0,0,0.0,102.988,0.0,0.0,0.0,-102.988
2022-06-28 00:03:27.781767,-5.9711,0.0,0,0.0,102.887,0.0,0.0,0.0,-102.887
2022-06-28 00:03:37.824055,-6.255830555555556,0.0,0,0.0,102.503,0.0,0.0,0.0,-102.503
2022-06-28 00:03:47.840905,-6.540455555555556,0.0,0,0.0,102.465,0.0,0.0,0.0,-102.465
2022-06-28 00:03:58.065153,-6.824275,0.0,0,0.0,102.175,0.0,0.0,0.0,-102.175
2022-06-28 00:04:07.796778,-7.110144444444445,0.0,0,0.0,102.913,0.0,0.0,0.0,-102.913
2022-06-28 00:04:17.952670,-7.393080555555556,0.0,0,0.0,101.857,0.0,0.0,0.0,-101.857
2022-06-28 00:04:27.805837,-7.685758333333333,0.0,0,0.0,105.364,0.0,0.0,0.0,-105.364
2022-06-28 00:04:37.996379,-7.970466666666667,0.0,0,0.0,102.495,0.0,0.0,0.0,-102.495
2022-06-28 00:04:47.834514,-8.255452777777778,0.0,0,0.0,102.595,0.0,0.0,0.0,-102.595
2022-06-28 00:04:57.833753,-8.543761111111111,0.0,0,0.0,103.791,0.0,0.0,0.0,-103.791
2022-06-28 00:05:07.867725,-8.8313,0.0,0,0.0,103.514,0.0,0.0,0.0,-103.514
2022-06-28 00:05:17.865407,-9.118722222222225,0.0,0,0.0,103.472,0.0,0.0,0.0,-103.472
2022-06-28 00:05:27.865795,-9.406361111111112,0.0,0,0.0,103.55,0.0,0.0,0.0,-103.55
2022-06-28 00:05:37.875220,-9.693719444444444,0.0,0,0.0,103.449,0.0,0.0,0.0,-103.449
2022-06-28 00:05:47.942556,-9.981444444444444,0.0,0,0.0,103.581,0.0,0.0,0.0,-103.581
2022-06-28 00:05:57.883140,-10.264047222222224,0.0,0,0.0,101.737,0.0,0.0,0.0,-101.737
2022-06-28 00:06:07.899322,-10.550283333333333,0.0,0,0.0,103.045,0.0,0.0,0.0,-103.045
2022-06-28 00:06:17.905702,-10.835386111111111,0.0,0,0.0,102.637,0.0,0.0,0.0,-102.637
2022-06-28 00:06:27.910783,-11.115944444444445,0.0,0,0.0,101.001,0.0,0.0,0.0,-101.001
2022-06-28 00:06:37.930958,-11.397547222222222,0.0,0,0.0,101.377,0.0,0.0,0.0,-101.377
2022-06-28 00:06:47.912447,-11.680338888888889,0.0,0,0.0,101.805,0.0,0.0,0.0,-101.805
2022-06-28 00:06:58.191496,-11.965483333333331,0.0,0,0.0,102.652,0.0,0.0,0.0,-102.652
