id,timestamp,powerP,powerLB
100,2022-02-01T16:14:40,540.8202514648438,-90.55
101,2022-02-01T16:14:50,538.2211303710938,-100.75
102,2022-02-01T16:15:00,535.7068481445312,-106.72
103,2022-02-01T16:15:10,534.8134155273438,-100.9
104,2022-02-01T16:15:20,531.2528686523438,-99.24
105,2022-02-01T16:15:30,526.720703125,-94.91
106,2022-02-01T16:15:40,525.3912963867188,-87.6
107,2022-02-01T16:15:50,521.3721313476562,-88.3
108,2022-02-01T16:16:00,519.8179931640625,-79.8
109,2022-02-01T16:16:10,518.7680053710938,-78.58
110,2022-02-01T16:16:20,516.0536499023438,-76.09
111,2022-02-01T16:16:30,514.9465942382812,-68.27
112,2022-02-01T16:16:40,512.8179931640625,-61.82
113,2022-02-01T16:16:50,510.0498046875,-64.22
114,2022-02-01T16:17:10,508.5669860839844,-65.39
115,2022-02-01T16:17:20,505.5091857910156,-63.08
116,2022-02-01T16:17:30,503.2593078613281,-59.73
117,2022-02-01T16:17:40,502.0050964355469,-58.46
118,2022-02-01T16:17:50,501.70947265625,-59.56
119,2022-02-01T16:18:00,500.229736328125,-62.68
120,2022-02-01T16:18:10,496.5536804199219,-52.47
121,2022-02-01T16:18:20,491.9732360839844,-50.8
122,2022-02-01T16:18:30,490.6219177246094,-48.31
123,2022-02-01T16:18:40,489.0956726074219,-45.48
124,2022-02-01T16:18:50,485.9198303222656,-42.9
125,2022-02-01T16:19:00,483.8591613769531,-41.13
126,2022-02-01T16:19:10,480.98870849609375,-39.04
127,2022-02-01T16:19:20,479.2665710449219,-29.36
128,2022-02-01T16:19:30,476.840576171875,-34.67
129,2022-02-01T16:19:40,473.6168212890625,-30.14
130,2022-02-01T16:19:50,472.97900390625,-28.99
131,2022-02-01T16:20:00,470.5855712890625,-21.59
132,2022-02-01T16:20:10,468.978271484375,-12.63
133,2022-02-01T16:20:20,468.4040832519531,-27.49
134,2022-02-01T16:20:30,465.0004577636719,-17.96
135,2022-02-01T16:20:40,463.7414855957031,-27.87
136,2022-02-01T16:20:50,460.6080322265625,-24.85
137,2022-02-01T16:21:00,458.5640869140625,56.18
138,2022-02-01T16:21:10,456.1373901367188,53.01
139,2022-02-01T16:21:20,455.12213134765625,63.82
140,2022-02-01T16:21:30,453.2839660644531,55.75
141,2022-02-01T16:21:40,452.1526489257813,70.6
142,2022-02-01T16:21:50,448.22113037109375,67.1
143,2022-02-01T16:22:00,446.0631408691406,-12.47
144,2022-02-01T16:22:10,444.7881164550781,0.0
145,2022-02-01T16:22:20,443.5240173339844,-8.49
146,2022-02-01T16:22:30,441.922607421875,0.0
147,2022-02-01T16:22:40,439.9719543457031,0.0
148,2022-02-01T16:22:50,439.445556640625,-6.33
149,2022-02-01T16:23:00,436.1666564941406,0.0
150,2022-02-01T16:23:10,434.7066345214844,0.0
151,2022-02-01T16:23:20,433.7041931152344,0.0
152,2022-02-01T16:23:30,431.3143615722656,-4.46
153,2022-02-01T16:23:40,430.3052062988281,0.0
154,2022-02-01T16:23:50,427.2537841796875,7.47
155,2022-02-01T16:24:00,426.0470275878906,12.49
156,2022-02-01T16:24:10,422.3824157714844,24.01
157,2022-02-01T16:24:20,421.9566650390625,12.21
158,2022-02-01T16:24:30,420.828369140625,11.61
159,2022-02-01T16:24:40,417.2945556640625,13.56
160,2022-02-01T16:24:50,418.0632629394531,17.55
161,2022-02-01T16:25:00,413.70458984375,15.42
162,2022-02-01T16:25:10,412.0198974609375,17.32
163,2022-02-01T16:25:20,408.74072265625,20.53
164,2022-02-01T16:25:30,406.16156005859375,24.61
165,2022-02-01T16:25:40,404.6596374511719,24.63
166,2022-02-01T16:25:50,404.00970458984375,27.76
167,2022-02-01T16:26:00,401.5148010253906,28.7
168,2022-02-01T16:26:10,399.0026550292969,32.13
169,2022-02-01T16:26:20,399.310546875,33.63
170,2022-02-01T16:26:30,396.9411926269531,29.87
171,2022-02-01T16:26:40,392.4495849609375,42.47
172,2022-02-01T16:26:50,389.337158203125,40.83
173,2022-02-01T16:27:00,387.6668090820313,46.93
174,2022-02-01T16:27:10,384.4707336425781,63.53
175,2022-02-01T16:27:20,384.041015625,59.1
176,2022-02-01T16:27:30,381.5545654296875,53.92
177,2022-02-01T16:27:50,379.7490234375,54.23
178,2022-02-01T16:28:00,377.0962524414063,55.22
179,2022-02-01T16:28:10,374.8343505859375,61.89
180,2022-02-01T16:28:20,372.0321960449219,64.17
181,2022-02-01T16:28:30,369.8049621582031,58.4
182,2022-02-01T16:28:40,365.5089721679688,68.25
183,2022-02-01T16:28:50,364.686767578125,66.1
184,2022-02-01T16:29:00,360.72698974609375,71.97
185,2022-02-01T16:29:10,357.7958068847656,70.54
186,2022-02-01T16:29:20,355.3041687011719,74.93
187,2022-02-01T16:29:30,353.1676940917969,76.22
188,2022-02-01T16:29:40,352.2481994628906,82.72
189,2022-02-01T16:29:50,348.6999206542969,84.05
190,2022-02-01T16:30:00,346.858642578125,87.11
191,2022-02-01T16:30:10,344.8669128417969,83.88
192,2022-02-01T16:30:20,343.0468139648437,122.42
193,2022-02-01T16:30:30,337.7982788085937,140.29
194,2022-02-01T16:30:40,336.7069396972656,143.54
195,2022-02-01T16:30:50,334.7314147949219,112.38
196,2022-02-01T16:31:00,332.9160461425781,147.2
197,2022-02-01T16:31:10,330.1939697265625,153.8
198,2022-02-01T16:31:20,327.3734436035156,150.62
199,2022-02-01T16:31:30,324.9058532714844,112.87
200,2022-02-01T16:31:40,321.691162109375,111.79
201,2022-02-01T16:31:50,318.34783935546875,129.16
202,2022-02-01T16:32:00,316.1459350585937,163.03
203,2022-02-01T16:32:10,313.6607971191406,173.77
204,2022-02-01T16:32:20,310.0817565917969,168.37
205,2022-02-01T16:32:30,309.0983581542969,173.75
206,2022-02-01T16:32:40,305.11053466796875,173.45
