timestamp,energyA,energyP,on_offL1,on_offL2,powerC,powerG,powerL1,powerL2
2022-04-27 00:00:02.653776,-0.4095083333333333,,0,,150.0,-9.762,0.0,
2022-04-27 00:00:12.499845,-0.8176555555555556,,0,,150.0,-8.914,0.0,
2022-04-27 00:00:22.699379,-1.2263527777777778,,0,,150.0,-7.927,0.0,
2022-04-27 00:00:32.530988,-1.6355444444444445,,0,,150.0,-8.488,0.0,
2022-04-27 00:00:42.764010,-2.0510916666666668,,0,,150.0,-7.435,0.0,
2022-04-27 00:00:52.537476,-2.4622,,0,,150.0,-8.777,0.0,
2022-04-27 00:01:02.761083,-2.874408333333333,,0,,150.0,-7.622,0.0,
2022-04-27 00:01:12.572262,-3.281722222222222,,0,,150.0,-8.259,0.0,
2022-04-27 00:01:22.716631,-3.688136111111111,,0,,150.0,-7.729,0.0,
2022-04-27 00:01:32.737648,-4.099797222222223,,0,,150.0,-8.947,0.0,
2022-04-27 00:01:42.836386,-4.5118888888888895,,0,,150.0,-8.899000000000001,0.0,
2022-04-27 00:01:52.705357,-4.9252777777777785,,0,,150.0,-8.173,0.0,
2022-04-27 00:02:02.743348,-5.336752777777779,,0,,150.0,-7.525,0.0,
2022-04-27 00:02:12.776710,-5.751233333333334,,0,,150.0,-7.856999999999999,0.0,
2022-04-27 00:02:22.813805,-6.160791666666667,,0,,150.0,-7.661999999999999,0.0,
2022-04-27 00:02:32.706785,-6.577027777777778,,0,,150.0,-8.515,0.0,
2022-04-27 00:02:42.895301,-6.987125000000001,,0,,150.0,-7.641999999999999,0.0,
2022-04-27 00:02:52.815362,-7.397180555555556,,0,,150.0,-8.68,0.0,
2022-04-27 00:03:02.759600,-7.805822222222223,,0,,150.0,-8.51,0.0,
2022-04-27 00:03:12.791084,-8.219858333333335,,0,,150.0,-7.601,0.0,
2022-04-27 00:03:22.821372,-8.629561111111112,,0,,150.0,-7.673999999999999,0.0,
2022-04-27 00:03:32.865021,-9.042666666666667,,0,,150.0,-7.984,0.0,
2022-04-27 00:03:42.860613,-9.46041388888889,,0,,150.0,-7.058000000000001,0.0,
2022-04-27 00:03:52.844732,-9.877908333333336,,0,,150.0,-8.312,0.0,
2022-04-27 00:04:02.860645,-10.290983333333337,,0,,150.0,-7.198,0.0,
2022-04-27 00:04:12.800282,-10.70477777777778,,0,,150.0,-7.163,0.0,
2022-04-27 00:04:22.842054,-11.11741388888889,,0,,150.0,-7.737,0.0,
2022-04-27 00:04:32.872764,-11.531850000000002,,0,,150.0,-7.205,0.0,
2022-04-27 00:04:42.806308,-11.946480555555558,,0,,150.0,-7.395,0.0,
2022-04-27 00:04:52.841360,-12.359772222222224,,0,,150.0,-7.182,0.0,
2022-04-27 00:05:02.958154,-12.774916666666668,,0,,150.0,-7.857000000000001,0.0,
2022-04-27 00:05:12.918105,-13.191086111111112,,0,,150.0,-8.155,0.0,
2022-04-27 00:05:22.844907,-13.601986111111112,,0,,150.0,-7.718,0.0,
2022-04-27 00:05:32.984729,-14.017358333333334,,0,,150.0,-7.937,0.0,
2022-04-27 00:05:42.988470,-14.43276388888889,,0,,150.0,-7.053,0.0,
2022-04-27 00:05:52.849552,-14.847933333333334,,0,,150.0,-7.931,0.0,
2022-04-27 00:06:02.887109,-15.26237777777778,,0,,150.0,-8.081,0.0,
2022-04-27 00:06:12.921500,-15.67942777777778,,0,,150.0,-9.19,0.0,
2022-04-27 00:06:22.956346,-16.09512777777778,,0,,150.0,-8.149,0.0,
2022-04-27 00:06:32.893889,-16.510350000000003,,0,,150.0,-8.257000000000001,0.0,
2022-04-27 00:06:42.929236,-16.926369444444447,,0,,150.0,-7.529999999999999,0.0,
2022-04-27 00:06:52.770668,-17.342830555555558,,0,,150.0,-8.321000000000002,0.0,
2022-04-27 00:07:02.899358,-17.759847222222223,,0,,150.0,-8.593,0.0,
2022-04-27 00:07:12.935021,-18.17441944444445,,0,,150.0,-8.219000000000001,0.0,
2022-04-27 00:07:22.971498,-18.589108333333336,,0,,150.0,-7.732,0.0,
2022-04-27 00:07:32.991759,-19.00352777777778,,0,,150.0,-7.443999999999999,0.0,
2022-04-27 00:07:43.007355,-19.415672222222224,,0,,150.0,-8.373999999999999,0.0,
2022-04-27 00:07:52.986330,-19.82781388888889,,0,,150.0,-8.696,0.0,
2022-04-27 00:08:03.040167,-20.240672222222223,,0,,150.0,-7.633,0.0,
2022-04-27 00:08:12.971355,-20.65757222222222,,0,,150.0,-8.633,0.0,
2022-04-27 00:08:23.010209,-21.07048888888889,,0,,150.0,-8.932,0.0,
2022-04-27 00:08:33.063166,-21.490994444444446,,0,,150.0,-8.264,0.0,
2022-04-27 00:08:42.978618,-21.905797222222223,,0,,150.0,-8.081,0.0,
2022-04-27 00:08:53.017921,-22.320108333333334,,0,,150.0,-9.287,0.0,
2022-04-27 00:09:03.063761,-22.73323333333333,,0,,150.0,-8.335,0.0,
2022-04-27 00:09:13.095391,-23.14913333333333,,0,,150.0,-8.312999999999999,0.0,
2022-04-27 00:09:23.019616,-23.56376388888889,,0,,150.0,-7.514,0.0,
2022-04-27 00:09:33.065402,-23.98185,,0,,150.0,-7.601,0.0,
2022-04-27 00:09:43.152124,-24.396608333333333,,0,,150.0,-7.397000000000001,0.0,
2022-04-27 00:09:53.135735,-24.816588888888887,,0,,150.0,-7.454000000000001,0.0,
2022-04-27 00:10:03.093210,-25.23099444444444,,0,,150.0,-7.882,0.0,
2022-04-27 00:10:12.923042,-25.647711111111107,,0,,150.0,-8.559000000000001,0.0,
2022-04-27 00:10:23.128521,-26.062847222222217,,0,,150.0,-9.023,0.0,
2022-04-27 00:10:33.066529,-26.476372222222217,,0,,150.0,-9.237,0.0,
2022-04-27 00:10:43.109999,-26.890516666666663,,0,,150.0,-7.551,0.0,
2022-04-27 00:10:53.133706,-27.30411111111111,,0,,150.0,-8.653,0.0,
2022-04-27 00:11:03.100749,-27.719536111111108,,0,,150.0,-7.691,0.0,
2022-04-27 00:11:13.107067,-28.13683055555555,,0,,150.0,-8.006,0.0,
2022-04-27 00:11:23.145688,-28.54867777777777,,0,,150.0,-7.616,0.0,
2022-04-27 00:11:33.187662,-28.96431666666666,,0,,150.0,-8.245,0.0,
2022-04-27 00:11:43.183203,-29.37805555555555,,0,,150.0,-8.001,0.0,
2022-04-27 00:11:53.159712,-29.79419444444444,,0,,150.0,-7.694999999999999,0.0,
2022-04-27 00:12:03.197971,-30.210480555555552,,0,,150.0,-8.503,0.0,
2022-04-27 00:12:13.228051,-30.62619444444444,,0,,150.0,-6.981,0.0,
2022-04-27 00:12:23.165793,-31.04324444444444,,0,,150.0,-8.450999999999999,0.0,
2022-04-27 00:12:33.118593,-31.461377777777773,,0,,150.0,-7.696,0.0,
2022-04-27 00:12:43.238500,-31.87676944444444,,0,,150.0,-8.357000000000001,0.0,
2022-04-27 00:12:53.039580,-32.29173055555555,,0,,150.0,-8.502,0.0,
2022-04-27 00:13:03.214315,-32.70565833333333,,0,,150.0,-8.883000000000001,0.0,
2022-04-27 00:13:13.144293,-33.12317777777778,,0,,150.0,-7.947999999999999,0.0,
2022-04-27 00:13:23.166538,-33.540325,,0,,150.0,-7.832000000000001,0.0,
2022-04-27 00:13:33.208850,-33.95668055555555,,0,,150.0,-7.74,0.0,
2022-04-27 00:13:43.509308,-34.37094444444444,,0,,150.0,-7.264,0.0,
2022-04-27 00:13:53.181219,-34.78588333333333,,0,,150.0,-8.966000000000001,0.0,
2022-04-27 00:14:03.204460,-35.201030555555555,,0,,150.0,-7.23,0.0,
2022-04-27 00:14:13.243961,-35.61955277777778,,0,,150.0,-7.433,0.0,
2022-04-27 00:14:23.285065,-36.03669166666666,,0,,150.0,-8.253,0.0,
2022-04-27 00:14:33.211576,-36.45469444444444,,0,,150.0,-9.53,0.0,
2022-04-27 00:14:43.256594,-36.87180277777777,,0,,150.0,-6.673,0.0,
2022-04-27 00:14:53.188285,-37.288938888888886,,0,,150.0,-7.232,0.0,
2022-04-27 00:15:03.232167,-37.70814166666666,,0,,150.0,-8.437000000000001,0.0,
2022-04-27 00:15:13.252289,-38.12824722222222,,0,,150.0,-8.479,0.0,
2022-04-27 00:15:23.199759,-38.54182222222222,,0,,150.0,-8.127,0.0,
2022-04-27 00:15:33.155066,-38.95596111111111,,0,,150.0,-7.865,0.0,
2022-04-27 00:15:43.319247,-39.373025,,0,,150.0,-7.039999999999999,0.0,
2022-04-27 00:15:53.188015,-39.78850277777778,,0,,150.0,-7.968999999999999,0.0,
2022-04-27 00:16:03.230250,-40.20618888888889,,0,,150.0,-8.081999999999999,0.0,
2022-04-27 00:16:13.281427,-40.62408611111111,,0,,150.0,-8.722999999999999,0.0,
2022-04-27 00:16:23.183337,-41.04348333333333,,0,,150.0,-7.535,0.0,
2022-04-27 00:16:33.340330,-41.45873611111112,,0,,150.0,-7.383,0.0,
2022-04-27 00:16:43.281242,-41.87683611111112,,0,,150.0,-7.819,0.0,
2022-04-27 00:16:53.416021,-42.29452500000001,,0,,150.0,-8.087,0.0,
